Biracko mjesto:;BPS - SEFER HALILOVIc;STRANKA ZA BOSNU I HERCEGOVINU;SDP - SOCIJALDEMOKRATSKA PARTIJA BIH;HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE;DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH;DEMOKRATSKA STRANKA INVALIDA BIH;BOSS - BOSANSKA STRANKA - MIRNES AJANOVIc;SDA - STRANKA DEMOKRATSKE AKCIJE;HSS - NHI;NARODNA STRANKA RADOM ZA BOLJITAK;STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE;????? ?????????? ???????????????? - ???? - ??????? ?????;SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE;STRANKA UDRUzENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE;STRANKA DEMOKRATSKE AKTIVNOSTI A-sda;STRANKA ZA NAROD BOSNE I HERCEGOVINE;SAVEZ ZA BOLJU BUDUcNOST BIH - SBB BIH FAHRUDIN RADONcIc;PARTIJA PRAVOG PUTA;TVOJA I MOJA - TIM STRANKA U BIH;STRANKA KOKUZA - SKOK;NASA STRANKA - NOVA SOCIJALISTIcKA PARTIJA ZDRAVKO KRSMANOVIc;HRVATSKA KOALICIJA HDZ 1990 - HSP BIH;LIBERALNO DEMOKRATSKA STRANKA - EVROPSKA EKOLOSKA STRANKA E-5;KOALICIJA PREOKRET: GDS BIH I NEP BIH;Ukupno za biracko mjesto:
039A017B;2;137;29;0;0;0;0;162;0;4;0;0;0;0;1;3;22;0;0;1;0;0;0;0;361
039A018;58;16;86;1;5;0;1;125;0;17;30;0;0;0;2;7;44;2;0;9;7;2;0;0;412
039A019A;12;41;107;0;0;0;3;114;0;1;12;0;0;1;3;9;14;3;0;0;1;0;0;0;321
039A019B;17;63;111;0;0;0;2;82;0;1;7;0;0;0;0;7;18;0;0;0;0;0;3;0;311
039A020;8;102;47;0;0;0;0;288;0;4;9;0;0;0;4;2;16;8;0;0;0;0;1;0;489
039A021A;12;54;175;4;0;0;0;104;0;2;6;0;0;0;1;4;30;2;0;1;0;3;0;1;399
039A021B;13;63;111;6;0;0;2;106;1;1;2;0;0;0;2;0;21;0;0;0;1;7;0;0;336
039A022A;74;43;110;2;0;1;3;115;0;7;7;0;3;0;0;24;40;1;0;5;3;0;0;0;438
039A022B;54;38;120;0;2;0;2;85;0;7;6;0;0;0;2;22;34;0;0;1;3;0;0;0;376
039A022C;34;19;88;2;1;0;3;94;0;3;4;0;0;0;1;8;25;2;0;1;4;0;1;0;290
039A023;22;12;123;7;0;0;4;80;5;40;6;1;1;0;1;7;35;0;0;3;1;9;0;0;357
039A024A;25;160;84;1;0;0;5;87;0;12;1;0;0;0;0;7;17;0;0;1;5;0;0;0;405
039A024B;18;135;118;0;0;0;0;84;0;6;3;0;2;1;0;1;31;0;1;7;3;0;0;0;410
039A024C;64;91;81;1;0;0;1;87;0;14;9;0;0;0;2;1;28;3;1;0;2;0;0;1;386
039A025;29;13;292;1;0;0;5;94;0;7;9;1;0;0;3;2;52;1;0;8;24;1;14;0;556
039A026;36;17;284;1;0;0;2;89;0;4;8;1;0;0;2;26;50;1;0;6;23;3;18;0;571
039A027;15;30;248;0;0;1;1;109;1;4;6;0;1;0;2;8;42;0;0;4;6;0;5;1;484
039A028;18;19;282;7;0;0;5;119;0;20;10;1;5;0;2;11;49;0;0;4;14;0;1;0;567
039A029;4;56;171;3;1;0;3;84;0;5;7;1;0;1;3;7;53;4;1;7;6;1;2;0;420
039A030;1;10;110;0;0;0;1;88;0;5;9;0;0;0;0;4;10;0;0;0;3;0;0;0;241
039A031A;67;64;51;0;0;0;0;153;0;8;2;0;0;0;0;6;14;0;0;0;0;0;2;0;367
039A031B;21;69;63;0;3;0;0;133;0;4;9;0;1;1;0;4;13;0;0;1;2;0;0;0;324
039A032A;20;14;159;0;0;0;6;118;0;7;5;0;0;0;0;1;11;0;0;3;0;0;0;0;344
039A032B;20;12;135;1;0;2;0;57;0;8;6;0;0;0;1;11;11;1;0;3;1;0;0;0;269
039A033;28;18;191;5;0;0;0;84;0;9;0;0;0;1;2;2;20;0;0;2;0;7;0;0;369
039A034;34;22;99;0;0;0;1;53;0;7;12;0;0;0;2;4;18;4;0;4;1;0;0;0;261
039A035;10;52;60;3;0;0;0;52;0;0;3;0;0;0;0;1;5;0;0;4;3;0;1;0;194
039A036;28;20;242;2;0;0;2;68;1;8;4;0;0;0;2;6;46;0;0;8;20;2;4;0;463
039A037;24;27;253;3;0;0;0;83;2;29;1;0;1;0;3;3;18;2;0;3;3;0;0;0;455
042A000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
042A001;16;31;179;3;6;1;1;73;0;2;8;1;0;2;6;0;60;2;0;7;9;1;1;0;409
042A002;11;18;194;5;0;0;4;96;0;4;9;5;1;0;5;10;42;0;0;5;10;1;0;0;420
042A003A;10;20;138;1;1;1;1;73;0;2;10;3;1;0;4;2;39;0;0;5;6;1;0;0;318
042A003B;13;18;138;4;2;0;2;67;0;2;7;3;0;1;1;0;36;0;0;4;7;0;1;0;306
042A004;11;34;163;2;4;0;2;63;0;8;5;0;0;0;0;1;61;1;0;5;9;5;0;1;375
042A005;15;25;162;0;3;1;2;136;1;8;9;0;1;0;2;2;24;1;0;7;1;0;0;0;400
042A006;15;27;146;0;1;0;3;177;0;5;9;0;0;0;18;4;33;1;0;6;0;1;0;4;450
042A007;1;0;10;2;0;1;0;28;0;19;3;51;0;0;0;1;0;0;0;1;3;1;0;0;121
042A008;10;11;148;1;1;1;3;97;0;4;28;3;0;1;3;11;52;4;0;8;2;0;0;0;388
