Biracko mjesto:	BPS - SEFER HALILOVIc	STRANKA ZA BOSNU I HERCEGOVINU	SDP - SOCIJALDEMOKRATSKA PARTIJA BIH	HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE	DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH	DEMOKRATSKA STRANKA INVALIDA BIH	BOSS - BOSANSKA STRANKA - MIRNES AJANOVIc	ZAVIcAJNI SOCIJALDEMOKRATI - MILE MARcETA	SOCIJALISTICKA PARTIJA	SDA - STRANKA DEMOKRATSKE AKCIJE	DNS - DEMOKRATSKI NARODNI SAVEZ	STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE	SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK	SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE	HSP BIH	HRVATSKA DEMOKRATSKA ZAJEDNICA 1990 - HDZ 1990	STRANKA UDRUzENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE	STRANKA DEMOKRATSKE AKTIVNOSTI A-sda	STRANKA ZA NAROD BOSNE I HERCEGOVINE	SAVEZ ZA BOLJU BUDUcNOST BIH - SBB BIH FAHRUDIN RADONcIc	PARTIJA PRAVOG PUTA	STRANKA KOKUZA - SKOK	NASA STRANKA - NOVA SOCIJALISTIcKA PARTIJA ZDRAVKO KRSMANOVIc	NS R ZA BOLJITAK, KSPP, E-5 I LDS - ZAJEDNO ZA USK	KOALICIJA PREOKRET: GDS BIH I NEP BIH	Ukupno za biracko mjesto:
001A010	0	2	13	2	142	0	1	0	0	89	0	0	0	2	0	0	0	8	0	4	0	0	0	44	0	307
001A011	0	4	3	3	240	0	0	0	0	25	0	1	0	0	0	0	0	0	0	1	0	0	0	32	0	309
001A012A	0	2	11	0	137	0	1	0	0	15	0	1	0	1	0	2	9	1	1	1	0	2	0	28	0	212
001A012B	0	7	11	1	166	0	0	0	1	10	0	0	0	0	0	1	0	4	0	2	0	1	0	15	0	219
001A013	0	3	8	1	314	0	0	0	0	5	0	0	0	0	0	0	0	1	2	0	0	0	0	11	0	345
001A014A	1	2	5	2	228	0	0	0	0	14	0	0	0	0	0	0	1	3	0	3	0	0	0	13	0	272
001A014B	0	2	2	1	222	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	12	0	244
001A015	0	5	14	8	293	0	0	0	0	7	0	0	0	0	0	1	0	3	0	6	0	1	0	31	0	369
001A016A	0	2	7	5	254	0	0	0	0	13	0	1	0	1	0	0	0	1	0	6	0	0	0	23	0	313
001A016B	0	1	7	0	126	0	2	0	0	11	0	1	0	0	1	0	0	1	0	8	3	0	0	13	0	174
001A017	0	2	1	2	295	1	0	0	0	36	0	0	0	2	0	0	0	0	0	26	0	0	2	39	0	406
001A018	1	4	7	2	251	0	2	0	0	12	0	0	1	0	0	1	1	50	2	4	0	0	1	30	0	369
001A019	0	6	8	1	217	0	2	0	0	38	0	0	0	0	0	0	0	16	0	4	0	0	3	8	0	303
001A020	1	5	15	4	224	1	0	0	0	10	0	1	0	1	0	0	0	5	0	1	0	0	1	50	0	319
001A021	0	3	6	0	222	0	0	1	0	17	0	0	0	1	0	1	2	13	2	1	0	0	1	23	0	293
001A022	0	3	4	6	258	0	1	0	0	46	0	0	0	2	0	2	5	0	0	0	1	0	0	83	1	412
001A023	0	3	5	3	239	0	0	0	0	41	0	0	1	0	0	0	4	3	0	11	1	0	0	4	0	315
001A024	0	2	23	4	330	0	0	0	0	13	0	3	1	0	0	1	2	5	0	8	0	0	0	49	0	441
001A025	1	4	8	1	209	0	3	0	0	24	0	2	0	0	0	0	1	0	0	4	1	0	5	35	0	298
001A026	0	3	8	1	218	0	0	0	0	9	1	0	0	0	0	0	6	1	0	6	0	0	0	42	0	295
001A027A	0	0	2	2	195	0	0	0	0	26	0	1	0	1	0	0	0	4	0	1	0	0	1	19	0	252
001A027B	0	0	2	3	160	0	0	0	0	16	0	0	0	0	0	1	0	0	0	1	0	0	1	21	0	205
001A028	0	7	7	2	178	0	0	0	0	25	1	0	0	0	0	0	0	0	0	5	0	0	0	86	0	311
001A029A	0	11	8	0	165	0	2	0	0	32	0	0	0	1	0	0	0	4	3	5	0	0	1	25	0	257
001A029B	1	21	23	0	169	0	0	0	0	64	0	1	1	0	0	0	2	3	0	7	0	0	0	18	0	310
001A030	0	7	1	2	223	1	1	0	0	17	0	0	0	2	0	2	0	4	0	0	0	0	0	12	0	272
001A031	0	22	10	1	170	0	0	0	0	93	0	1	0	2	0	1	0	33	0	4	0	0	0	30	0	367
001A032	2	19	12	2	86	1	0	0	0	36	0	0	1	0	0	0	0	33	0	2	0	0	0	22	0	216
001A033	0	27	15	0	294	0	1	0	0	63	0	0	0	2	0	0	0	15	0	5	0	0	0	9	0	431
001A034	0	6	2	1	203	0	0	0	0	30	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	252
001A035	0	2	11	0	61	0	0	0	0	28	0	0	1	0	0	0	1	9	0	1	0	0	1	8	0	123
001A036	0	4	8	4	251	0	0	1	0	57	1	0	0	0	0	0	2	5	0	4	0	0	0	124	0	461
001A037	0	4	3	2	90	1	0	0	0	26	1	0	0	0	0	0	15	2	0	16	0	0	2	2	0	164
001A038	0	11	15	2	150	1	0	1	0	21	0	0	0	1	0	1	0	2	0	8	0	0	0	41	0	254
001A039	0	1	2	0	183	0	0	0	0	16	0	0	0	0	0	0	0	3	0	1	0	0	0	5	0	211
001A040	0	3	2	2	249	0	0	0	0	10	0	1	0	0	0	0	0	13	0	0	0	0	0	10	0	290
001A041	0	3	33	2	166	0	2	0	0	44	0	2	0	3	0	0	0	18	0	9	0	1	1	72	0	356
001A042	0	1	7	0	135	0	0	0	0	19	0	1	0	0	0	0	0	2	0	4	0	0	1	9	0	179
001A043	1	2	19	2	187	0	1	0	0	37	0	1	0	1	0	0	1	5	0	8	0	1	0	72	0	338
001A044	0	5	30	1	146	0	0	0	0	28	0	0	0	0	0	0	0	1	1	9	0	2	0	36	0	259
001A045	1	3	8	17	87	1	0	0	0	0	0	2	1	0	0	1	3	4	0	8	1	0	0	24	0	161
001A046	0	2	8	0	253	0	0	0	0	29	0	0	0	2	0	0	0	3	0	3	0	0	0	36	0	336
001A047	0	1	9	0	207	0	2	0	0	30	0	0	0	0	0	0	0	3	0	3	0	0	2	41	0	298
001A048	1	0	3	0	92	0	0	0	0	33	0	0	0	0	0	0	0	1	0	0	0	0	0	19	0	149
001A049	0	20	5	0	184	0	1	0	0	79	0	0	0	0	0	0	0	4	0	2	0	0	0	8	0	303
001A050	0	4	2	2	138	0	1	0	1	92	0	0	0	1	0	0	4	3	0	8	0	0	0	31	0	287
002A000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
002A001	8	11	185	1	21	0	0	0	0	78	0	5	0	2	0	0	0	53	3	46	0	2	27	46	0	488
002A002	5	28	173	3	13	0	3	1	0	68	0	3	1	0	0	1	0	85	3	24	1	0	11	80	0	503
002A003	1	10	163	0	51	0	1	1	0	72	0	9	1	2	0	0	0	100	0	44	1	2	27	47	0	532
002A004	0	18	176	1	25	0	0	0	0	50	1	4	0	1	0	2	0	38	3	38	0	1	15	27	0	400
002A005	1	1	16	2	71	0	0	0	0	112	0	1	0	1	0	0	1	47	0	4	1	0	0	2	0	260
002A006	2	7	83	1	15	0	2	0	0	63	0	0	0	0	0	0	0	70	0	42	1	1	6	19	0	312
002A007	10	20	117	1	25	1	2	0	0	84	0	3	0	0	0	0	0	159	6	23	1	4	21	34	0	511
002A008A	4	5	124	0	6	0	0	0	0	82	0	1	0	0	0	0	0	185	0	39	0	0	4	14	0	464
002A008B	0	18	69	0	6	0	3	0	0	66	0	2	0	4	0	0	1	108	1	19	0	0	5	7	0	309
002A009	2	16	98	0	12	1	0	0	0	166	0	4	0	2	0	2	0	149	1	6	0	1	16	13	0	489
