,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,"STRANKA ""NOVA SRPSKA"" - NS",STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,133A055,8,15,97,1,6,5,2,21,0,3,1,87,66,33,1,1,3,1,4,8,363
,133A056,0,14,85,0,1,0,3,25,4,1,1,50,83,48,2,0,4,5,7,6,339
,133A057,4,12,69,5,5,2,1,19,0,0,6,63,69,34,2,0,0,4,3,2,300
,133A058,4,16,103,3,4,4,0,30,0,4,3,82,83,25,3,0,2,3,5,4,378
,133A059,3,16,86,1,5,1,0,31,0,0,3,72,55,37,10,1,0,7,3,8,339
,133A060,8,22,92,13,0,2,3,47,0,1,0,84,110,36,3,0,7,7,6,8,449
,133A061,0,24,90,1,3,5,2,33,1,0,1,82,62,48,2,0,2,1,4,13,374
,133A062,9,13,109,1,2,3,6,33,0,1,1,87,93,35,4,0,4,2,7,6,416
,133A063,3,18,122,8,1,4,1,38,6,0,0,86,124,35,4,0,1,8,7,12,478
,133A064,4,17,112,1,3,6,1,37,2,1,1,87,94,29,0,0,2,10,5,4,416
,133A065,7,30,136,6,2,1,6,30,1,0,1,102,99,30,4,1,1,5,14,4,480
,133A066,10,24,130,4,1,1,4,35,0,0,2,124,138,32,1,0,6,8,5,5,530
,133A067,5,38,81,3,0,2,4,40,2,0,4,86,60,45,1,0,2,4,3,8,388
,133A068,4,11,88,1,4,3,1,31,1,0,6,101,79,47,3,1,7,1,6,5,400
,133A069,1,14,80,1,8,6,4,29,0,0,5,55,68,20,0,0,0,1,13,7,312
,133A070,2,11,92,1,4,8,1,44,1,0,6,86,77,32,2,3,2,1,3,8,384
,133A071,1,12,72,7,3,6,4,28,0,0,3,68,66,47,5,0,4,7,3,4,340
,133A072,2,17,101,1,3,2,3,38,1,2,4,88,83,34,1,0,4,5,7,7,403
,133A073,4,11,88,5,1,4,4,20,0,1,2,81,89,40,1,0,1,5,2,7,366
,133A074,6,17,87,1,3,1,3,22,3,2,1,56,60,24,3,0,1,4,3,10,307
,133A075,2,18,109,3,1,8,5,38,0,0,10,68,115,36,2,1,1,5,2,9,433
,133A076,6,15,64,3,5,3,0,28,2,0,4,83,55,37,3,2,4,1,4,7,326
,133A077,2,21,112,4,9,3,1,23,0,0,2,96,72,28,0,0,6,5,5,5,394
,133A078,2,15,100,5,3,3,5,27,3,1,3,99,89,36,2,0,0,5,3,10,411
,133A079,2,21,110,8,6,9,9,45,0,0,7,92,84,23,1,1,3,3,4,9,437
,133A080,3,12,77,8,4,7,2,29,0,0,5,83,53,20,2,4,3,3,2,8,325
,133A081,2,19,83,3,1,9,11,33,1,2,4,87,66,37,1,4,2,4,12,9,390
,133A082,1,28,66,8,3,5,8,36,0,0,17,77,63,37,0,2,2,4,3,9,369
,133A083,7,34,128,2,3,7,5,30,0,2,8,113,61,23,2,6,1,10,1,7,450
,133A084,4,27,84,0,1,0,0,17,1,1,1,93,71,46,0,0,0,3,4,19,372
,133A085,1,18,128,0,1,6,3,22,4,0,2,84,89,47,7,0,1,5,11,7,436
,133A086,5,19,92,4,6,3,13,44,0,2,3,88,76,44,2,1,1,5,3,10,421
,133A087,4,20,99,6,8,4,2,35,2,1,4,107,92,38,0,0,2,4,4,9,441
,133A088,1,19,122,4,6,15,2,21,2,0,1,88,57,29,1,0,3,9,6,6,392
,133A089,3,19,119,5,5,3,8,39,1,2,4,79,86,64,4,0,2,7,7,22,479
,133A090,3,11,109,4,11,2,4,36,0,0,10,99,72,48,3,1,0,8,0,10,431
,133A091,2,14,89,0,6,5,2,35,1,1,1,101,90,33,1,2,2,2,3,7,397
,133A092,2,27,78,6,2,2,0,24,6,1,0,66,95,35,1,1,0,6,2,12,366
,133A093,3,14,87,1,2,3,1,26,0,0,4,58,109,42,3,0,0,6,3,5,367
,133A094,5,26,106,3,0,0,6,15,0,0,0,86,136,45,3,0,5,3,2,8,449
,133A095,6,16,75,2,1,5,1,23,0,1,1,79,108,22,1,0,3,0,6,8,358
,133A096,1,18,71,2,0,1,1,11,1,0,3,56,59,15,3,0,6,11,7,2,268
,133A097,6,34,77,0,0,4,9,13,0,5,0,109,120,10,2,0,3,6,0,2,400
,133A098,4,19,70,4,4,4,5,21,5,1,2,80,148,36,1,1,2,7,4,8,426
,133A099,13,25,58,0,0,1,0,2,3,0,0,87,185,26,0,0,1,3,4,6,414
,133A100,10,18,63,1,1,0,8,14,1,2,0,100,127,9,2,0,4,7,10,1,378
,133A101,7,26,50,0,2,1,2,12,1,0,1,141,219,17,4,1,2,11,4,4,505
,133A102,10,27,84,1,1,3,7,9,0,1,0,107,130,25,0,0,1,12,2,5,425
,133A103,9,27,73,2,0,1,1,5,0,1,0,84,181,16,0,0,7,5,8,4,424
,133A104,4,19,63,1,2,4,0,6,1,1,5,90,146,7,3,0,3,3,7,2,367
,133A105,11,34,79,0,0,0,1,6,5,2,0,134,207,25,1,0,4,7,4,4,524
,133A106,4,27,114,3,1,0,4,13,1,2,0,78,107,32,2,0,1,8,7,6,410
,133A107,9,27,80,1,3,1,5,10,2,0,0,90,160,18,1,0,0,9,4,4,424
