,BM,BORCI ZA NOVU POLITIKU,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,DEVIĆ SLOBODAN,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,TADIĆ ALEKSANDAR,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,VUKOVIĆ SLAVKO,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,074B014B,0,1,0,5,96,0,0,0,50,6,91,40,0,0,22,49,2,0,0,0,0,3,1,366
,074B014C,2,0,0,20,12,1,0,0,40,22,56,3,0,0,11,153,4,1,0,0,0,1,0,326
,074B014D,0,0,0,12,10,0,0,0,43,18,116,3,0,0,14,144,2,0,2,0,0,2,0,366
,074B015,0,0,0,10,0,0,0,1,90,11,81,1,0,0,12,48,7,1,0,0,0,3,0,265
,074B016,0,1,0,5,21,0,2,1,52,2,85,176,0,0,0,67,1,5,1,0,0,2,0,421
,074B017A,1,0,0,3,104,0,0,0,32,10,81,59,0,0,5,51,3,0,0,0,0,1,0,350
,074B017B,0,0,0,15,58,0,0,0,27,11,21,50,0,0,9,53,2,2,1,0,0,0,0,249
,074B018,0,0,0,4,0,0,0,0,44,9,43,0,0,0,5,79,3,0,0,0,0,0,0,187
,074B019A,0,0,0,17,1,0,0,0,43,4,182,0,0,0,5,67,0,0,0,0,0,2,1,322
,074B019B,4,0,0,17,0,0,0,0,32,12,180,0,0,0,12,58,3,1,2,0,0,0,0,321
,074B019C,0,0,0,13,1,0,0,0,20,7,101,0,0,0,3,41,2,2,0,0,0,3,0,193
,074B020,0,0,0,2,0,0,0,0,9,2,64,0,0,0,1,30,0,0,0,0,1,0,0,109
,074B021A,0,0,0,20,36,0,0,0,38,57,219,10,0,4,23,165,7,0,1,0,0,5,1,586
