,BM,BEŠIĆ SENAD - BEŠIĆ SENAD,BLAŽANOVIĆ IVO - DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE,ČENAJ PETRIT - ČENAJ PETRIT,DODIK MILORAD - SNSD-DNS-SP,HORIĆ AMIR - BPS-SEFER HALILOVIĆ,"JERKOVIĆ JOSIP - HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",JOVIČIĆ DRAGOMIR - STRANKA PRAVEDNE POLITIKE,MARKOVIĆ VLADAN - MARKOVIĆ VLADAN,MUHAREMOVIĆ INDIRA - PRVA STRANKA,NEŠKOVIĆ MLADEN - NEŠKOVIĆ MLADEN,PALIĆ SAMIR - SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE,SALKIĆ RAMIZ - DOMOVINA,SEDLO TOMA - STRANKA PRAVDE I POVJERENJA,STOJAKOVIĆ SANDA - KOMUNISTIČKA PARTIJA,STOJANOVIĆ MILKO - STOJANOVIĆ MILKO,SULJKANOVIĆ ENES - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,TADIĆ OGNJEN - SAVEZ ZA PROMJENE,TOKIĆ SEJFUDIN - A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,VLAJKI EMIL - PARTIJA EKONOMSKE I SOCIJALNE PRAVDE,Ukupno
,144B029,0,1,1,224,0,0,2,0,0,3,0,1,0,0,0,1,253,0,6,492
,144B030,0,1,0,243,0,0,5,2,0,3,0,1,0,1,1,0,283,1,3,544
,144B031,0,0,0,177,0,0,2,1,0,1,0,0,0,0,0,0,243,1,2,427
,144B032,0,0,0,222,0,0,3,0,0,0,0,0,0,1,0,0,209,0,3,438
,144B033,0,0,0,72,0,0,1,1,0,0,0,1,0,0,0,0,128,0,3,206
,144B034,0,0,0,162,0,0,7,0,0,2,0,0,0,1,0,0,192,1,2,367
,146B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,146B001,0,0,0,14,0,0,0,0,0,0,1,2,0,0,0,0,22,2,0,41
,146B002,0,0,0,42,0,0,0,0,0,0,0,8,0,0,0,2,79,4,0,135
,146B003,0,0,0,140,1,0,2,0,0,0,0,1,0,0,0,0,179,0,0,323
,146B004,0,0,0,52,0,0,1,0,0,0,0,13,0,1,0,1,38,5,1,112
,146B005,0,1,0,53,0,0,2,0,0,1,0,3,0,0,0,0,44,0,1,105
,146B006,0,0,0,85,0,0,1,0,0,0,1,8,0,0,0,1,78,7,0,181
,146B007,0,1,0,53,0,0,0,0,0,1,0,0,0,0,0,0,73,1,0,129
,146B008,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,23
,146B009,0,0,0,31,0,0,1,0,0,0,0,1,0,0,0,0,84,2,0,119
