"mjesto","stranka","glasovi","godina","nivo","lokacija","ukupno"
"007B008",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,206,2014,parbih,parbih_1_521,0
"007B008",SDS-SRPSKA DEMOKRATSKA STRANKA,129,2014,parbih,parbih_1_521,0
"007B008",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,116,2014,parbih,parbih_1_521,0
"007B008",PDP-NDP,24,2014,parbih,parbih_1_521,0
"007B008",SOCIJALISTIČKA PARTIJA,23,2014,parbih,parbih_1_521,0
"007B008",SDA - STRANKA DEMOKRATSKE AKCIJE,17,2014,parbih,parbih_1_521,0
"007B008",SRPSKA NAPREDNA STRANKA - SNS,6,2014,parbih,parbih_1_521,0
"007B008",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),3,2014,parbih,parbih_1_521,0
"007B008",STRANKA PRAVEDNE POLITIKE,2,2014,parbih,parbih_1_521,0
"007B008",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,0,2014,parbih,parbih_1_521,0
"007B008",KOMUNISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
"007B008",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,0,2014,parbih,parbih_1_521,0
"007B008","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",0,2014,parbih,parbih_1_521,0
"007B009",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,346,2014,parbih,parbih_1_521,0
"007B009",SDS-SRPSKA DEMOKRATSKA STRANKA,151,2014,parbih,parbih_1_521,0
"007B009",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,101,2014,parbih,parbih_1_521,0
"007B009",PDP-NDP,20,2014,parbih,parbih_1_521,0
"007B009",SOCIJALISTIČKA PARTIJA,11,2014,parbih,parbih_1_521,0
"007B009",SRPSKA NAPREDNA STRANKA - SNS,3,2014,parbih,parbih_1_521,0
"007B009",KOMUNISTIČKA PARTIJA,1,2014,parbih,parbih_1_521,0
"007B009",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,0,2014,parbih,parbih_1_521,0
"007B009",SDA - STRANKA DEMOKRATSKE AKCIJE,0,2014,parbih,parbih_1_521,0
"007B009",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,0,2014,parbih,parbih_1_521,0
"007B009",STRANKA PRAVEDNE POLITIKE,0,2014,parbih,parbih_1_521,0
"007B009","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",0,2014,parbih,parbih_1_521,0
"007B009",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),0,2014,parbih,parbih_1_521,0
"007B010",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,29,2014,parbih,parbih_1_521,0
"007B010",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,15,2014,parbih,parbih_1_521,0
"007B010",SDS-SRPSKA DEMOKRATSKA STRANKA,11,2014,parbih,parbih_1_521,0
"007B010",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,0,2014,parbih,parbih_1_521,0
"007B010",SOCIJALISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
"007B010",SDA - STRANKA DEMOKRATSKE AKCIJE,0,2014,parbih,parbih_1_521,0
"007B010",SRPSKA NAPREDNA STRANKA - SNS,0,2014,parbih,parbih_1_521,0
"007B010",KOMUNISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
"007B010",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,0,2014,parbih,parbih_1_521,0
"007B010",STRANKA PRAVEDNE POLITIKE,0,2014,parbih,parbih_1_521,0
"007B010",PDP-NDP,0,2014,parbih,parbih_1_521,0
"007B010","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",0,2014,parbih,parbih_1_521,0
"007B010",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),0,2014,parbih,parbih_1_521,0
"007B011",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,173,2014,parbih,parbih_1_521,0
"007B011",SDS-SRPSKA DEMOKRATSKA STRANKA,112,2014,parbih,parbih_1_521,0
"007B011",PDP-NDP,48,2014,parbih,parbih_1_521,0
"007B011",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,36,2014,parbih,parbih_1_521,0
"007B011",SOCIJALISTIČKA PARTIJA,3,2014,parbih,parbih_1_521,0
"007B011",SRPSKA NAPREDNA STRANKA - SNS,1,2014,parbih,parbih_1_521,0
"007B011",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,1,2014,parbih,parbih_1_521,0
"007B011",STRANKA PRAVEDNE POLITIKE,1,2014,parbih,parbih_1_521,0
"007B011",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),1,2014,parbih,parbih_1_521,0
"007B011",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,0,2014,parbih,parbih_1_521,0
"007B011",SDA - STRANKA DEMOKRATSKE AKCIJE,0,2014,parbih,parbih_1_521,0
"007B011",KOMUNISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
"007B011","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",0,2014,parbih,parbih_1_521,0
"007B012",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,166,2014,parbih,parbih_1_521,0
"007B012",SDS-SRPSKA DEMOKRATSKA STRANKA,122,2014,parbih,parbih_1_521,0
"007B012",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,33,2014,parbih,parbih_1_521,0
"007B012",PDP-NDP,14,2014,parbih,parbih_1_521,0
"007B012",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,9,2014,parbih,parbih_1_521,0
"007B012",SDA - STRANKA DEMOKRATSKE AKCIJE,5,2014,parbih,parbih_1_521,0
"007B012",KOMUNISTIČKA PARTIJA,1,2014,parbih,parbih_1_521,0
"007B012",STRANKA PRAVEDNE POLITIKE,1,2014,parbih,parbih_1_521,0
"007B012",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),1,2014,parbih,parbih_1_521,0
"007B012",SOCIJALISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
"007B012",SRPSKA NAPREDNA STRANKA - SNS,0,2014,parbih,parbih_1_521,0
"007B012",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,0,2014,parbih,parbih_1_521,0
"007B012","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",0,2014,parbih,parbih_1_521,0
"007B013",SDA - STRANKA DEMOKRATSKE AKCIJE,334,2014,parbih,parbih_1_521,0
"007B013",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,137,2014,parbih,parbih_1_521,0
"007B013",SDS-SRPSKA DEMOKRATSKA STRANKA,63,2014,parbih,parbih_1_521,0
"007B013",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,5,2014,parbih,parbih_1_521,0
"007B013",PDP-NDP,2,2014,parbih,parbih_1_521,0
"007B013",SOCIJALISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
"007B013",SRPSKA NAPREDNA STRANKA - SNS,0,2014,parbih,parbih_1_521,0
"007B013",KOMUNISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
"007B013",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,0,2014,parbih,parbih_1_521,0
"007B013",STRANKA PRAVEDNE POLITIKE,0,2014,parbih,parbih_1_521,0
"007B013",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,0,2014,parbih,parbih_1_521,0
"007B013","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",0,2014,parbih,parbih_1_521,0
