,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HSS STJEPANA RADIĆA,KAMENČIĆ AIDA,KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,LAVIĆ HARIS,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,POSAVSKA STRANKA,PRELJEVIĆ NEDIM,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SELJAČKA STRANKA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-SNAGA BOSNE-BNS),SOCIJAL DEMOKRATSKI FRONT BOSNE I HERCEGOVINE,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA PRAVDE I RAZVOJA BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,STRANKA ZA EVROPSKO SARAJEVO-SES,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,131A022,8,13,94,0,0,0,1,0,0,0,11,3,0,0,0,2,0,45,108,40,0,1,8,0,1,0,7,14,14,15,385
,131A023,11,15,73,1,3,2,0,0,0,0,1,4,2,0,0,2,0,47,145,36,0,1,4,1,1,0,27,7,9,14,406
,131A024,6,14,66,0,0,0,0,0,0,0,1,4,3,0,0,1,1,32,173,22,0,0,8,0,1,0,7,11,6,7,363
,131A025,25,13,87,0,0,0,0,3,0,0,9,5,7,0,0,1,1,51,108,31,0,0,2,1,1,0,10,4,11,12,382
,131A026,20,15,98,0,1,0,0,0,0,0,2,4,6,0,0,1,0,61,125,30,0,0,0,1,1,0,6,7,11,5,394
,131A027,25,30,73,0,0,0,0,0,0,0,2,12,2,0,0,0,0,57,127,38,0,0,1,3,1,0,11,6,4,7,399
,131A028,13,29,66,0,1,0,0,3,0,0,2,7,3,0,0,4,0,45,123,39,0,1,4,4,1,0,21,7,4,15,392
,131A029,15,28,94,0,0,2,0,1,0,0,8,4,3,0,0,0,0,39,136,30,0,0,2,6,2,0,9,6,1,22,408
,131A030,25,17,55,0,0,0,0,2,0,0,10,3,2,0,0,4,0,48,172,41,0,0,0,3,1,0,12,8,6,15,424
,131A031,15,12,83,0,0,0,0,1,0,0,3,8,5,0,0,0,0,43,116,39,0,0,4,0,1,0,3,8,6,22,369
,131A032,17,9,91,0,0,0,0,2,0,0,13,10,1,0,0,0,0,39,179,38,0,0,1,0,4,0,13,8,5,13,443
,131A033,7,9,51,1,5,0,0,2,0,0,1,32,1,0,0,0,3,52,45,38,2,0,4,1,0,0,6,4,6,8,278
,131A034,4,14,42,2,6,0,0,3,0,0,1,29,2,0,0,0,5,55,81,51,3,0,1,0,0,0,6,0,0,2,307
,131A035,6,11,47,3,2,0,0,2,0,0,1,21,0,0,0,1,3,53,73,37,3,0,2,1,3,0,3,5,5,6,288
,131A036,15,18,57,1,1,0,0,4,0,0,7,17,1,0,0,0,3,53,63,46,0,0,5,1,1,1,2,0,5,9,310
,131A037,7,13,54,0,4,0,1,5,0,0,8,15,2,0,0,1,1,42,71,48,0,1,1,2,2,1,6,6,15,5,311
,131A038,9,15,50,2,1,0,0,1,0,0,7,23,2,1,0,2,1,59,69,31,1,0,1,0,0,0,9,3,4,4,295
,131A039,14,19,66,4,3,0,0,1,0,0,5,13,3,0,0,1,2,63,56,32,3,0,4,0,4,0,8,4,2,2,309
,131A040,2,9,61,5,3,0,0,3,0,0,4,23,12,0,0,2,5,76,63,33,1,0,0,1,0,0,5,5,7,6,326
,131A041,7,7,66,2,5,0,1,3,0,0,9,43,4,0,0,0,2,52,73,37,0,0,1,1,0,0,6,8,2,12,341
,131A042,1,12,80,5,4,0,0,7,0,0,4,29,2,0,0,0,3,70,79,41,1,0,1,2,1,0,6,5,4,13,370
,131A043,10,18,64,2,1,0,1,3,0,0,6,49,4,0,0,2,5,37,80,39,1,0,3,0,0,0,4,2,7,4,342
,131A044,3,16,80,1,1,0,0,0,0,0,7,22,2,0,0,0,0,34,59,33,2,0,0,1,1,0,2,4,8,10,286
,131A045,9,10,68,7,1,0,1,3,0,0,6,10,0,0,0,0,2,38,68,31,0,0,2,1,3,0,5,11,5,5,286
,131A046,44,18,52,0,1,0,2,1,0,0,23,5,5,0,0,0,5,60,100,18,1,0,0,3,1,0,17,5,1,9,371
,131A047,33,11,65,0,2,0,0,1,0,0,5,2,1,0,0,0,1,33,125,41,0,0,0,3,1,0,10,14,1,2,351
,131A048,17,11,52,0,1,0,0,2,0,0,16,5,5,0,0,0,0,16,128,20,0,0,1,2,1,0,25,5,1,0,308
,131A049,15,26,26,0,0,1,0,0,0,0,15,3,0,0,0,2,0,53,113,28,0,0,0,2,2,0,2,5,4,4,301
,131A050,18,9,50,0,0,0,0,0,0,0,13,6,0,0,0,0,2,38,112,22,2,0,2,1,2,0,16,18,2,2,315
,131A051,49,12,25,1,0,1,0,1,0,0,24,11,0,0,0,4,2,37,85,19,1,1,0,1,0,0,5,14,0,3,296
,131A052,19,10,47,0,0,0,0,2,0,0,34,8,2,0,0,1,3,37,108,10,0,0,1,1,1,1,10,6,8,10,319
,131A053,16,20,57,4,6,0,0,5,0,0,8,16,8,0,0,0,1,62,71,36,0,0,2,2,4,0,5,10,3,9,345
